,cost,name,method,type,parallel
0,4.390876293182373,epoch-0,forLoop,epoch,20
1,4.208490610122681,epoch-1,forLoop,epoch,20
2,3.819854259490967,epoch-2,forLoop,epoch,20
3,3.7236688137054443,epoch-3,forLoop,epoch,20
4,3.757913827896118,epoch-4,forLoop,epoch,20
5,3.651695728302002,epoch-5,forLoop,epoch,20
6,3.7292938232421875,epoch-6,forLoop,epoch,20
7,3.7064757347106934,epoch-7,forLoop,epoch,20
8,3.691131830215454,epoch-8,forLoop,epoch,20
9,3.6708457469940186,epoch-9,forLoop,epoch,20
10,38.51527786254883,total,forLoop,total,20
11,3.25691294670105,epoch-0,parallel,epoch,20
12,2.6418490409851074,epoch-1,parallel,epoch,20
13,2.7589595317840576,epoch-2,parallel,epoch,20
14,2.717057228088379,epoch-3,parallel,epoch,20
15,2.7596418857574463,epoch-4,parallel,epoch,20
16,2.747164249420166,epoch-5,parallel,epoch,20
17,2.7065563201904297,epoch-6,parallel,epoch,20
18,2.6930198669433594,epoch-7,parallel,epoch,20
19,2.797396421432495,epoch-8,parallel,epoch,20
20,2.722377061843872,epoch-9,parallel,epoch,20
21,28.015851497650146,total,parallel,total,20
